검색지역,검색키워드,제목,회사정보,근무조건,이미지URL,채용공고링크,수집일시
강남구,고양이,논현동 가정집 반려동물 돌봄 (평일/주말),"이웃알바
·
논현동
·
2개월 전","건당 18만원
·
일
·
09:00~18:00 협의",이미지 없음,https://www.daangn.com/kr/jobs/%EB%85%BC%ED%98%84%EB%8F%99-%EA%B0%80%EC%A0%95%EC%A7%91-%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC-%EB%8F%8C%EB%B4%84-%ED%8F%89%EC%9D%BC-%EC%A3%BC%EB%A7%90-94k1qe4cjmq7/?in=%EA%B0%95%EB%82%A8%EA%B5%AC-381,2025-02-17 15:30:14
송파구,강아지,2시부터7시 월 금 집안일과 아이케어해주실분 모십니다,"이웃알바
·
문정동
·
5시간 전","건당 1만 4,000원
·
월, 금
·
09:00~18:00 협의",이미지 없음,https://www.daangn.com/kr/jobs/2%EC%8B%9C%EB%B6%80%ED%84%B07%EC%8B%9C-%EC%9B%94-%EA%B8%88-%EC%A7%91%EC%95%88%EC%9D%BC%EA%B3%BC-%EC%95%84%EC%9D%B4%EC%BC%80%EC%96%B4%ED%95%B4%EC%A3%BC%EC%8B%A4%EB%B6%84-%EB%AA%A8%EC%8B%AD%EB%8B%88%EB%8B%A4-haooamqovwdf/?in=%EC%86%A1%ED%8C%8C%EA%B5%AC-404,2025-02-17 15:30:15
강서구,강아지,중대형견 산책,"이웃알바
·
화곡동
·
20분 전","건당 1만 1,000원
·
오늘
·
09:00~18:00 협의",이미지 없음,https://www.daangn.com/kr/jobs/%EC%A4%91%EB%8C%80%ED%98%95%EA%B2%AC-%EC%82%B0%EC%B1%85-q9ffva3g9hz2/?in=%EA%B0%95%EC%84%9C%EA%B5%AC-257,2025-02-17 15:30:26
강서구,강아지,오전에 강아지 고양이 케어해주실분 구합니다,"버디독 강서점
·
화곡동
·
2일 전","월급 25만원
·
금~일
·
10:00~12:00",https://dnvefa72aowie.cloudfront.net/jobs/article/28045882/1717909507771/job-post-2320336230.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EC%98%A4%EC%A0%84%EC%97%90-%EA%B0%95%EC%95%84%EC%A7%80-%EA%B3%A0%EC%96%91%EC%9D%B4-%EC%BC%80%EC%96%B4%ED%95%B4%EC%A3%BC%EC%8B%A4%EB%B6%84-%EA%B5%AC%ED%95%A9%EB%8B%88%EB%8B%A4-ya1523ote8qd/?in=%EA%B0%95%EC%84%9C%EA%B5%AC-257,2025-02-17 15:30:26
강서구,강아지,21일 저녁 ~24일 오후 강아지봐주실분,"이웃알바
·
화곡동
·
2일 전","건당 8만원
·
총 4일 / 2월 21~24일
·
09:00~18:00 협의",https://img.kr.gcp-karroter.net/jobs/article/70230994/1739598836426/3865285103.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/21%EC%9D%BC-%EC%A0%80%EB%85%81-24%EC%9D%BC-%EC%98%A4%ED%9B%84-%EA%B0%95%EC%95%84%EC%A7%80%EB%B4%90%EC%A3%BC%EC%8B%A4%EB%B6%84-4rfju19qa61x/?in=%EA%B0%95%EC%84%9C%EA%B5%AC-257,2025-02-17 15:30:26
강서구,강아지,25개월 여아 하원도우미 선생님 구합니다,"이웃알바
·
등촌동
·
2일 전","건당 1만 5,000원
·
2월 28일
·
09:00~18:00 협의",이미지 없음,https://www.daangn.com/kr/jobs/25%EA%B0%9C%EC%9B%94-%EC%97%AC%EC%95%84-%ED%95%98%EC%9B%90%EB%8F%84%EC%9A%B0%EB%AF%B8-%EC%84%A0%EC%83%9D%EB%8B%98-%EA%B5%AC%ED%95%A9%EB%8B%88%EB%8B%A4-8d94m1skrqkq/?in=%EA%B0%95%EC%84%9C%EA%B5%AC-257,2025-02-17 15:30:26
강서구,강아지,[양천향교역] 여아 (주말/휴일) 베이비시터 모셔요,"이웃알바
·
가양동
·
27일 전","시급 1만 4,000원
·
토~일
·
09:00~18:00 협의",이미지 없음,https://www.daangn.com/kr/jobs/%EC%96%91%EC%B2%9C%ED%96%A5%EA%B5%90%EC%97%AD-%EC%97%AC%EC%95%84-%EC%A3%BC%EB%A7%90-%ED%9C%B4%EC%9D%BC-%EB%B2%A0%EC%9D%B4%EB%B9%84%EC%8B%9C%ED%84%B0-%EB%AA%A8%EC%85%94%EC%9A%94-9qi8py11rtpg/?in=%EA%B0%95%EC%84%9C%EA%B5%AC-257,2025-02-17 15:30:26
강서구,고양이,고양이배식 / 1시간가량소요 / 마곡동,"이웃알바
·
마곡동
·
3개월 전","건당 2만 5,000원
·
월, 토, 일
·
09:00~18:00 협의",이미지 없음,https://www.daangn.com/kr/jobs/%EA%B3%A0%EC%96%91%EC%9D%B4%EB%B0%B0%EC%8B%9D-1%EC%8B%9C%EA%B0%84%EA%B0%80%EB%9F%89%EC%86%8C%EC%9A%94-%EB%A7%88%EA%B3%A1%EB%8F%99-ysp7t4jczoak/?in=%EA%B0%95%EC%84%9C%EA%B5%AC-257,2025-02-17 15:30:26
강북구,강아지,악세사리 쇼핑몰 택배 포장,"보핀
·
수유동
·
4개월 전","시급 1만 30원
·
월~금
·
16:00~18:00 협의",https://img.kr.gcp-karroter.net/jobs/article/5313337/1729063609673/job-post-2019553712.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EC%95%85%EC%84%B8%EC%82%AC%EB%A6%AC-%EC%87%BC%ED%95%91%EB%AA%B0-%ED%83%9D%EB%B0%B0-%ED%8F%AC%EC%9E%A5-ybistm3xrxi4/?in=%EA%B0%95%EB%B6%81%EA%B5%AC-140,2025-02-17 15:30:48
강북구,고양이,주얼리 포장/ 각인 알바 월화 추가 채용해요,"주식회사 카와이
·
번동
·
2일 전","시급 1만 30원
·
월~화
·
12:00~16:00 협의",https://dnvefa72aowie.cloudfront.net/jobs/article/69654631/1718070941795/job-post-4156313643.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EC%A3%BC%EC%96%BC%EB%A6%AC-%ED%8F%AC%EC%9E%A5-%EA%B0%81%EC%9D%B8-%EC%95%8C%EB%B0%94-%EC%9B%94%ED%99%94-%EC%B6%94%EA%B0%80-%EC%B1%84%EC%9A%A9%ED%95%B4%EC%9A%94-5ybtjrgzubqy/?in=%EA%B0%95%EB%B6%81%EA%B5%AC-140,2025-02-17 15:30:49
